class,video_path,video_name
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41649.mp4,41649.mp4
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41648.mp4,41648.mp4
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41650.mp4,41650.mp4
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41646.mp4,41646.mp4
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41647.mp4,41647.mp4
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41644.mp4,41644.mp4
peaceful,/content/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41645.mp4,41645.mp4
n,/content/sign-language-dataset-wlasl-videos/dataset/SL/n/66052.mp4,66052.mp4
n,/content/sign-language-dataset-wlasl-videos/dataset/SL/n/38269.mp4,38269.mp4
n,/content/sign-language-dataset-wlasl-videos/dataset/SL/n/38265.mp4,38265.mp4
n,/content/sign-language-dataset-wlasl-videos/dataset/SL/n/38266.mp4,38266.mp4
n,/content/sign-language-dataset-wlasl-videos/dataset/SL/n/38267.mp4,38267.mp4
mainstream,/content/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34516.mp4,34516.mp4
mainstream,/content/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34510.mp4,34510.mp4
mainstream,/content/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34514.mp4,34514.mp4
mainstream,/content/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34512.mp4,34512.mp4
mainstream,/content/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34513.mp4,34513.mp4
mainstream,/content/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34511.mp4,34511.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43836.mp4,43836.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43831.mp4,43831.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43834.mp4,43834.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43829.mp4,43829.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/66316.mp4,66316.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43835.mp4,43835.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43833.mp4,43833.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43839.mp4,43839.mp4
possible,/content/sign-language-dataset-wlasl-videos/dataset/SL/possible/43830.mp4,43830.mp4
somewhere,/content/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53253.mp4,53253.mp4
somewhere,/content/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53255.mp4,53255.mp4
somewhere,/content/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53252.mp4,53252.mp4
somewhere,/content/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53257.mp4,53257.mp4
label,/content/sign-language-dataset-wlasl-videos/dataset/SL/label/31976.mp4,31976.mp4
label,/content/sign-language-dataset-wlasl-videos/dataset/SL/label/31978.mp4,31978.mp4
label,/content/sign-language-dataset-wlasl-videos/dataset/SL/label/31981.mp4,31981.mp4
label,/content/sign-language-dataset-wlasl-videos/dataset/SL/label/66006.mp4,66006.mp4
label,/content/sign-language-dataset-wlasl-videos/dataset/SL/label/31984.mp4,31984.mp4
label,/content/sign-language-dataset-wlasl-videos/dataset/SL/label/31979.mp4,31979.mp4
favorite,/content/sign-language-dataset-wlasl-videos/dataset/SL/favorite/65694.mp4,65694.mp4
favorite,/content/sign-language-dataset-wlasl-videos/dataset/SL/favorite/21312.mp4,21312.mp4
favorite,/content/sign-language-dataset-wlasl-videos/dataset/SL/favorite/21303.mp4,21303.mp4
favorite,/content/sign-language-dataset-wlasl-videos/dataset/SL/favorite/21304.mp4,21304.mp4
favorite,/content/sign-language-dataset-wlasl-videos/dataset/SL/favorite/21309.mp4,21309.mp4
dye,/content/sign-language-dataset-wlasl-videos/dataset/SL/dye/18091.mp4,18091.mp4
dye,/content/sign-language-dataset-wlasl-videos/dataset/SL/dye/18096.mp4,18096.mp4
dye,/content/sign-language-dataset-wlasl-videos/dataset/SL/dye/18095.mp4,18095.mp4
dye,/content/sign-language-dataset-wlasl-videos/dataset/SL/dye/18094.mp4,18094.mp4
dye,/content/sign-language-dataset-wlasl-videos/dataset/SL/dye/18092.mp4,18092.mp4
dye,/content/sign-language-dataset-wlasl-videos/dataset/SL/dye/18093.mp4,18093.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/66142.mp4,66142.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/36779.mp4,36779.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/36781.mp4,36781.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/36783.mp4,36783.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/36780.mp4,36780.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/36791.mp4,36791.mp4
moon,/content/sign-language-dataset-wlasl-videos/dataset/SL/moon/36782.mp4,36782.mp4
preacher,/content/sign-language-dataset-wlasl-videos/dataset/SL/preacher/44143.mp4,44143.mp4
preacher,/content/sign-language-dataset-wlasl-videos/dataset/SL/preacher/44141.mp4,44141.mp4
preacher,/content/sign-language-dataset-wlasl-videos/dataset/SL/preacher/44146.mp4,44146.mp4
microphone,/content/sign-language-dataset-wlasl-videos/dataset/SL/microphone/35928.mp4,35928.mp4
microphone,/content/sign-language-dataset-wlasl-videos/dataset/SL/microphone/35931.mp4,35931.mp4
microphone,/content/sign-language-dataset-wlasl-videos/dataset/SL/microphone/35925.mp4,35925.mp4
microphone,/content/sign-language-dataset-wlasl-videos/dataset/SL/microphone/35923.mp4,35923.mp4
microphone,/content/sign-language-dataset-wlasl-videos/dataset/SL/microphone/35924.mp4,35924.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/24498.mp4,24498.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/24502.mp4,24502.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/24500.mp4,24500.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/65814.mp4,65814.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/24503.mp4,24503.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/24499.mp4,24499.mp4
get up,/content/sign-language-dataset-wlasl-videos/dataset/SL/get up/24501.mp4,24501.mp4
personality,/content/sign-language-dataset-wlasl-videos/dataset/SL/personality/42220.mp4,42220.mp4
personality,/content/sign-language-dataset-wlasl-videos/dataset/SL/personality/42214.mp4,42214.mp4
personality,/content/sign-language-dataset-wlasl-videos/dataset/SL/personality/42215.mp4,42215.mp4
personality,/content/sign-language-dataset-wlasl-videos/dataset/SL/personality/42217.mp4,42217.mp4
arrogant,/content/sign-language-dataset-wlasl-videos/dataset/SL/arrogant/03454.mp4,03454.mp4
arrogant,/content/sign-language-dataset-wlasl-videos/dataset/SL/arrogant/03448.mp4,03448.mp4
arrogant,/content/sign-language-dataset-wlasl-videos/dataset/SL/arrogant/03450.mp4,03450.mp4
arrogant,/content/sign-language-dataset-wlasl-videos/dataset/SL/arrogant/03451.mp4,03451.mp4
arrogant,/content/sign-language-dataset-wlasl-videos/dataset/SL/arrogant/03457.mp4,03457.mp4
arrogant,/content/sign-language-dataset-wlasl-videos/dataset/SL/arrogant/03449.mp4,03449.mp4
role,/content/sign-language-dataset-wlasl-videos/dataset/SL/role/48408.mp4,48408.mp4
role,/content/sign-language-dataset-wlasl-videos/dataset/SL/role/48404.mp4,48404.mp4
role,/content/sign-language-dataset-wlasl-videos/dataset/SL/role/48407.mp4,48407.mp4
role,/content/sign-language-dataset-wlasl-videos/dataset/SL/role/48411.mp4,48411.mp4
role,/content/sign-language-dataset-wlasl-videos/dataset/SL/role/48405.mp4,48405.mp4
role,/content/sign-language-dataset-wlasl-videos/dataset/SL/role/48406.mp4,48406.mp4
director,/content/sign-language-dataset-wlasl-videos/dataset/SL/director/65484.mp4,65484.mp4
director,/content/sign-language-dataset-wlasl-videos/dataset/SL/director/16383.mp4,16383.mp4
director,/content/sign-language-dataset-wlasl-videos/dataset/SL/director/16384.mp4,16384.mp4
director,/content/sign-language-dataset-wlasl-videos/dataset/SL/director/16386.mp4,16386.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/47244.mp4,47244.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/47239.mp4,47239.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/47242.mp4,47242.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/47238.mp4,47238.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/66390.mp4,66390.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/47237.mp4,47237.mp4
remove,/content/sign-language-dataset-wlasl-videos/dataset/SL/remove/47240.mp4,47240.mp4
alligator,/content/sign-language-dataset-wlasl-videos/dataset/SL/alligator/02009.mp4,02009.mp4
alligator,/content/sign-language-dataset-wlasl-videos/dataset/SL/alligator/02010.mp4,02010.mp4
alligator,/content/sign-language-dataset-wlasl-videos/dataset/SL/alligator/02008.mp4,02008.mp4
alligator,/content/sign-language-dataset-wlasl-videos/dataset/SL/alligator/02012.mp4,02012.mp4
alligator,/content/sign-language-dataset-wlasl-videos/dataset/SL/alligator/02014.mp4,02014.mp4
discount,/content/sign-language-dataset-wlasl-videos/dataset/SL/discount/16546.mp4,16546.mp4
discount,/content/sign-language-dataset-wlasl-videos/dataset/SL/discount/16542.mp4,16542.mp4
discount,/content/sign-language-dataset-wlasl-videos/dataset/SL/discount/16544.mp4,16544.mp4
discount,/content/sign-language-dataset-wlasl-videos/dataset/SL/discount/16543.mp4,16543.mp4
discount,/content/sign-language-dataset-wlasl-videos/dataset/SL/discount/16541.mp4,16541.mp4
flood,/content/sign-language-dataset-wlasl-videos/dataset/SL/flood/22483.mp4,22483.mp4
flood,/content/sign-language-dataset-wlasl-videos/dataset/SL/flood/22489.mp4,22489.mp4
flood,/content/sign-language-dataset-wlasl-videos/dataset/SL/flood/22485.mp4,22485.mp4
flood,/content/sign-language-dataset-wlasl-videos/dataset/SL/flood/22481.mp4,22481.mp4
part,/content/sign-language-dataset-wlasl-videos/dataset/SL/part/41262.mp4,41262.mp4
part,/content/sign-language-dataset-wlasl-videos/dataset/SL/part/41263.mp4,41263.mp4
part,/content/sign-language-dataset-wlasl-videos/dataset/SL/part/41267.mp4,41267.mp4
part,/content/sign-language-dataset-wlasl-videos/dataset/SL/part/41265.mp4,41265.mp4
calculator,/content/sign-language-dataset-wlasl-videos/dataset/SL/calculator/08641.mp4,08641.mp4
calculator,/content/sign-language-dataset-wlasl-videos/dataset/SL/calculator/08639.mp4,08639.mp4
calculator,/content/sign-language-dataset-wlasl-videos/dataset/SL/calculator/08636.mp4,08636.mp4
calculator,/content/sign-language-dataset-wlasl-videos/dataset/SL/calculator/08637.mp4,08637.mp4
calculator,/content/sign-language-dataset-wlasl-videos/dataset/SL/calculator/08635.mp4,08635.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/53416.mp4,53416.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/53415.mp4,53415.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/53414.mp4,53414.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/53420.mp4,53420.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/53417.mp4,53417.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/66537.mp4,66537.mp4
sound,/content/sign-language-dataset-wlasl-videos/dataset/SL/sound/53423.mp4,53423.mp4
spider,/content/sign-language-dataset-wlasl-videos/dataset/SL/spider/66546.mp4,66546.mp4
spider,/content/sign-language-dataset-wlasl-videos/dataset/SL/spider/53831.mp4,53831.mp4
spider,/content/sign-language-dataset-wlasl-videos/dataset/SL/spider/53825.mp4,53825.mp4
spider,/content/sign-language-dataset-wlasl-videos/dataset/SL/spider/53829.mp4,53829.mp4
spider,/content/sign-language-dataset-wlasl-videos/dataset/SL/spider/53827.mp4,53827.mp4
spider,/content/sign-language-dataset-wlasl-videos/dataset/SL/spider/53826.mp4,53826.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/41357.mp4,41357.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/41352.mp4,41352.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/41356.mp4,41356.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/41365.mp4,41365.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/41350.mp4,41350.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/66267.mp4,66267.mp4
pass,/content/sign-language-dataset-wlasl-videos/dataset/SL/pass/41364.mp4,41364.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04802.mp4,04802.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04796.mp4,04796.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04798.mp4,04798.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04801.mp4,04801.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04795.mp4,04795.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/65129.mp4,65129.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04797.mp4,04797.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04803.mp4,04803.mp4
balance,/content/sign-language-dataset-wlasl-videos/dataset/SL/balance/04799.mp4,04799.mp4
