class,video_path,video_name
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41649.mp4,41649.mp4
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41648.mp4,41648.mp4
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41650.mp4,41650.mp4
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41646.mp4,41646.mp4
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41647.mp4,41647.mp4
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41644.mp4,41644.mp4
peaceful,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/peaceful/41645.mp4,41645.mp4
n,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/n/66052.mp4,66052.mp4
n,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/n/38269.mp4,38269.mp4
n,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/n/38265.mp4,38265.mp4
n,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/n/38266.mp4,38266.mp4
n,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/n/38267.mp4,38267.mp4
mainstream,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34516.mp4,34516.mp4
mainstream,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34510.mp4,34510.mp4
mainstream,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34514.mp4,34514.mp4
mainstream,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34512.mp4,34512.mp4
mainstream,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34513.mp4,34513.mp4
mainstream,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/mainstream/34511.mp4,34511.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43836.mp4,43836.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43831.mp4,43831.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43834.mp4,43834.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43829.mp4,43829.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/66316.mp4,66316.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43835.mp4,43835.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43833.mp4,43833.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43839.mp4,43839.mp4
possible,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/possible/43830.mp4,43830.mp4
somewhere,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53253.mp4,53253.mp4
somewhere,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53255.mp4,53255.mp4
somewhere,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53252.mp4,53252.mp4
somewhere,/kaggle/input/sign-language-dataset-wlasl-videos/dataset/SL/somewhere/53257.mp4,53257.mp4
